survey_key,date,length,area,mac_plast_w,mic_plas_w,total_w,est_weight,num_parts_staff,num_parts_other,time_minutes,participants,project,is_2020,location,loc_date
bielersee_vinelz_fankhausers2020-07-2714,2020-07-27,14,19.00,55.000,0.116,0.065,0.0,1,0,105,"[""HD""]",2020,True,bielersee_vinelz_fankhausers,"('bielersee_vinelz_fankhausers', '2020-07-27')"
bielersee_vinelz_fankhausers2020-08-2814,2020-08-28,14,25.00,34.000,0.162,0.055,0.0,1,0,95,"[""HD""]",2020,True,bielersee_vinelz_fankhausers,"('bielersee_vinelz_fankhausers', '2020-08-28')"
bielersee_vinelz_fankhausers2020-09-2614,2020-09-26,14,29.00,60.000,0.084,0.084,0.0,1,0,115,"[""HD""]",2020,True,bielersee_vinelz_fankhausers,"('bielersee_vinelz_fankhausers', '2020-09-26')"
bielersee_vinelz_fankhausers2020-10-3025,2020-10-30,25,44.00,75.000,0.000,0.005,0.0,1,0,80,"[""HD""]",2020,True,bielersee_vinelz_fankhausers,"('bielersee_vinelz_fankhausers', '2020-10-30')"
bielersee_vinelz_fankhausers2020-11-3032,2020-11-30,32,96.00,100.000,0.000,0.100,0.0,1,0,70,"[""HD""]",2020,True,bielersee_vinelz_fankhausers,"('bielersee_vinelz_fankhausers', '2020-11-30')"
bielersee_vinelz_fankhausers2020-12-3043,2020-12-30,43,121.00,210.000,0.147,1.080,0.0,1,0,135,"[""HD""]",2020,True,bielersee_vinelz_fankhausers,"('bielersee_vinelz_fankhausers', '2020-12-30')"
bielersee_vinelz_fankhausers2021-01-3016,2021-01-30,16,27.00,89.000,0.192,0.090,0.0,1,0,120,"[""HD""]",2020,True,bielersee_vinelz_fankhausers,"('bielersee_vinelz_fankhausers', '2021-01-30')"
boiron2020-11-0450,2020-11-04,50,100.00,65.000,0.013,0.100,0.0,1,0,85,"[""HD""]",2020,True,boiron,"('boiron', '2020-11-04')"
brugg-be-buren-bsg-standort2020-09-2236,2020-09-22,36,75.00,120.000,0.000,1.905,0.0,1,0,90,"[""HD""]",2020,True,brugg-be-buren-bsg-standort,"('brugg-be-buren-bsg-standort', '2020-09-22')"
camp-des-peches2020-11-2037,2020-11-20,37,93.00,35.000,0.000,0.045,0.0,1,0,110,"[""HD""]",2020,True,camp-des-peches,"('camp-des-peches', '2020-11-20')"
camping-gwatt-strand2020-11-0625,2020-11-06,25,101.00,3020.000,0.010,3.200,0.0,1,0,95,"[""HD""]",2020,True,camping-gwatt-strand,"('camping-gwatt-strand', '2020-11-06')"
cully-plage2020-06-2512,2020-06-25,12,48.00,45.000,0.000,0.045,0.0,1,0,58,"[""HD""]",2020,True,cully-plage,"('cully-plage', '2020-06-25')"
cully-plage2021-02-0412,2021-02-04,12,30.00,60.000,0.000,0.170,0.0,1,0,85,"[""PRCS""]",2020,True,cully-plage,"('cully-plage', '2021-02-04')"
delta-park2020-11-1935,2020-11-19,35,70.00,50.000,0.000,0.080,0.0,1,0,80,"[""HD""]",2020,True,delta-park,"('delta-park', '2020-11-19')"
evole-plage2020-05-0262,2020-05-02,62,203.00,200.000,0.000,0.700,0.0,1,0,135,"[""HD""]",2020,True,evole-plage,"('evole-plage', '2020-05-02')"
evole-plage2020-06-0261,2020-06-02,61,265.00,100.000,0.000,0.800,0.0,1,0,110,"[""HD""]",2020,True,evole-plage,"('evole-plage', '2020-06-02')"
evole-plage2020-07-0150,2020-07-01,50,250.00,75.000,0.000,0.290,0.0,1,0,105,"[""HD""]",2020,True,evole-plage,"('evole-plage', '2020-07-01')"
evole-plage2020-07-3160,2020-07-31,60,300.00,160.000,0.000,0.230,0.0,1,0,120,"[""HD""]",2020,True,evole-plage,"('evole-plage', '2020-07-31')"
evole-plage2020-09-0252,2020-09-02,52,267.00,185.000,0.000,0.325,0.0,1,0,160,"[""HD""]",2020,True,evole-plage,"('evole-plage', '2020-09-02')"
evole-plage2020-10-0455,2020-10-04,55,197.00,320.000,0.000,0.650,0.0,1,0,160,"[""HD""]",2020,True,evole-plage,"('evole-plage', '2020-10-04')"
evole-plage2020-11-0366,2020-11-03,66,304.00,270.000,0.000,0.580,0.0,1,0,180,"[""HD""]",2020,True,evole-plage,"('evole-plage', '2020-11-03')"
evole-plage2020-12-0254,2020-12-02,54,319.00,130.000,0.000,0.340,0.0,1,0,100,"[""HD""]",2020,True,evole-plage,"('evole-plage', '2020-12-02')"
evole-plage2021-01-0460,2021-01-04,60,322.00,250.000,0.000,0.600,0.0,1,0,125,"[""HD""]",2020,True,evole-plage,"('evole-plage', '2021-01-04')"
evole-plage2021-02-0346,2021-02-03,46,193.00,330.000,0.020,0.610,0.0,1,0,180,"[""HD""]",2020,True,evole-plage,"('evole-plage', '2021-02-03')"
flibach-river-right-bank2020-07-2017,2020-07-20,17,40.80,1.000,0.000,0.001,0.0,1,0,60,"[""HD""]",2020,True,flibach-river-right-bank,"('flibach-river-right-bank', '2020-07-20')"
gals-reserve2020-05-3018,2020-05-30,18,36.00,380.000,0.001,0.400,0.0,1,0,60,"[""HD""]",2020,True,gals-reserve,"('gals-reserve', '2020-05-30')"
gals-reserve2020-08-2820,2020-08-28,20,28.00,25.000,0.000,0.030,0.0,1,0,60,"[""HD""]",2020,True,gals-reserve,"('gals-reserve', '2020-08-28')"
gasi-strand2020-04-2438,2020-04-24,38,119.00,200.000,0.000,0.220,0.0,1,0,105,"[""HD""]",2020,True,gasi-strand,"('gasi-strand', '2020-04-24')"
gasi-strand2020-05-1858,2020-05-18,58,348.00,200.000,0.001,0.200,0.0,1,0,100,"[""HD""]",2020,True,gasi-strand,"('gasi-strand', '2020-05-18')"
gasi-strand2020-06-2082,2020-06-20,82,418.00,95.000,0.287,0.105,0.0,1,1,120,"[""HD""]",2020,True,gasi-strand,"('gasi-strand', '2020-06-20')"
gasi-strand2020-07-2090,2020-07-20,90,225.00,55.000,0.000,0.070,0.0,1,0,110,"[""HD""]",2020,True,gasi-strand,"('gasi-strand', '2020-07-20')"
gasi-strand2020-08-21108,2020-08-21,108,378.00,108.000,0.033,0.110,0.0,1,0,150,"[""HD""]",2020,True,gasi-strand,"('gasi-strand', '2020-08-21')"
gasi-strand2020-09-24103,2020-09-24,103,1200.00,55.000,0.000,0.175,0.0,1,0,120,"[""HD""]",2020,True,gasi-strand,"('gasi-strand', '2020-09-24')"
gasi-strand2020-10-2398,2020-10-23,98,588.00,135.000,0.000,0.220,0.0,1,0,100,"[""HD""]",2020,True,gasi-strand,"('gasi-strand', '2020-10-23')"
gasi-strand2020-11-2285,2020-11-22,85,595.00,190.000,0.080,0.310,0.0,1,0,80,"[""HD""]",2020,True,gasi-strand,"('gasi-strand', '2020-11-22')"
gasi-strand2020-12-22100,2020-12-22,100,600.00,39.986,0.012,0.050,0.0,1,0,119,"[""HD""]",2020,True,gasi-strand,"('gasi-strand', '2020-12-22')"
gasi-strand2021-01-21124,2021-01-21,124,124.00,100.000,0.001,0.480,0.0,1,0,75,"[""HD""]",2020,True,gasi-strand,"('gasi-strand', '2021-01-21')"
gerra-gambarogno2020-08-0980,2020-08-09,80,200.00,11.000,0.000,0.350,0.0,1,0,45,"[""PRCS""]",2020,True,gerra-gambarogno,"('gerra-gambarogno', '2020-08-09')"
grand-clos2020-05-0732,2020-05-07,32,192.00,2400.000,0.125,3.500,0.0,1,0,284,"[""HD""]",2020,True,grand-clos,"('grand-clos', '2020-05-07')"
grand-clos2020-06-0934,2020-06-09,34,238.00,1200.000,0.253,1.600,0.0,1,0,255,"[""HD""]",2020,True,grand-clos,"('grand-clos', '2020-06-09')"
grand-clos2020-07-0728,2020-07-07,28,168.00,5000.000,3.200,8.000,0.0,1,1,420,"[""HD"",""PRCS""]",2020,True,grand-clos,"('grand-clos', '2020-07-07')"
grand-clos2020-08-0626,2020-08-06,26,78.00,1400.000,0.085,2.500,0.0,1,0,360,"[""HD""]",2020,True,grand-clos,"('grand-clos', '2020-08-06')"
grand-clos2020-09-0845,2020-09-08,45,225.00,950.000,0.146,1.000,0.0,1,0,224,"[""HD""]",2020,True,grand-clos,"('grand-clos', '2020-09-08')"
grand-clos2020-10-0628,2020-10-06,28,56.00,760.000,0.000,0.950,0.0,1,0,210,"[""HD""]",2020,True,grand-clos,"('grand-clos', '2020-10-06')"
grand-clos2020-12-0831,2020-12-08,31,155.00,2.500,0.567,2.600,0.0,1,1,240,"[""HD""]",2020,True,grand-clos,"('grand-clos', '2020-12-08')"
grand-clos2021-01-0768,2021-01-07,68,105.00,330.000,0.068,0.710,0.0,2,0,240,"[""HD""]",2020,True,grand-clos,"('grand-clos', '2021-01-07')"
grand-clos2021-02-0961,2021-02-09,61,244.00,0.440,0.018,0.800,0.0,1,0,125,"[""HD""]",2020,True,grand-clos,"('grand-clos', '2021-02-09')"
hafeli2020-06-0841,2020-06-08,41,246.00,270.000,0.045,0.310,0.0,1,0,120,"[""HD""]",2020,True,hafeli,"('hafeli', '2020-06-08')"
hafeli2020-09-0745,2020-09-07,45,225.00,90.000,0.000,0.100,0.0,1,0,120,"[""HD""]",2020,True,hafeli,"('hafeli', '2020-09-07')"
hauterive-petite-plage2020-07-3142,2020-07-31,42,155.00,70.000,0.000,0.075,0.0,1,0,115,"[""HD""]",2020,True,hauterive-petite-plage,"('hauterive-petite-plage', '2020-07-31')"
impromptu_cudrefin2020-06-0412,2020-06-04,12,24.00,60.000,0.000,0.125,0.0,1,0,70,"[""HD""]",2020,True,impromptu_cudrefin,"('impromptu_cudrefin', '2020-06-04')"
jona-river-rastplatz2020-08-2011,2020-08-20,11,32.00,0.500,0.000,0.001,0.0,1,0,60,"[""HD""]",2020,True,jona-river-rastplatz,"('jona-river-rastplatz', '2020-08-20')"
jona-river-rastplatz2020-10-2235,2020-10-22,35,198.00,1.000,0.000,0.001,0.0,1,0,50,"[""HD""]",2020,True,jona-river-rastplatz,"('jona-river-rastplatz', '2020-10-22')"
jona-river-rastplatz2020-12-2239,2020-12-22,39,96.00,2.000,0.000,0.002,0.0,1,0,40,"[""HD""]",2020,True,jona-river-rastplatz,"('jona-river-rastplatz', '2020-12-22')"
kusnachter-dorfbach-tobelweg-1-42020-09-18129,2020-09-18,129,1093.00,5.000,0.000,0.340,0.0,1,0,100,"[""HD""]",2020,True,kusnachter-dorfbach-tobelweg-1-4,"('kusnachter-dorfbach-tobelweg-1-4', '2020-09-18')"
la-pecherie2020-06-2339,2020-06-23,39,117.00,210.000,0.013,0.340,0.0,1,0,115,"[""HD""]",2020,True,la-pecherie,"('la-pecherie', '2020-06-23')"
la-pecherie2020-10-0636,2020-10-06,36,120.00,320.000,0.000,0.450,0.0,1,0,138,"[""HD"",""PRCS""]",2020,True,la-pecherie,"('la-pecherie', '2020-10-06')"
la-pecherie2021-01-2218,2021-01-22,18,96.00,235.000,0.000,0.445,0.0,1,0,110,"[""PRCS""]",2020,True,la-pecherie,"('la-pecherie', '2021-01-22')"
la-petite-plage2020-05-1286,2020-05-12,86,318.00,200.000,0.265,0.800,0.0,1,0,160,"[""HD""]",2020,True,la-petite-plage,"('la-petite-plage', '2020-05-12')"
