slug,location,latitude,longitude,post,country,water,water_name,city_slug,water_name_slug,is_2020,city,bfsnum,population,buildings,streets,intersects,pop_group_proj,pop_group_rip,streets_rank,buildings_rank,significant
muhlehorn-dorf,Mühlehorn dorf,47.118448,9.172124,8874,CH,l,Walensee,glarus-nord,walensee,True,Glarus Nord,1630,18483,62272.38,48302.05,7,3,3,1,0,0
mullermatte,Müllermatte,47.133339,7.227907000000001,2505,CH,l,Bielersee,biel,bielersee,True,Biel/Bienne,371,55159,512260.05,109619.83,4,3,3,3,3,19
nidau-strand,Nidau strand,47.127196000000005,7.232613000000001,2560,CH,l,Bielersee,nidau,bielersee,True,Nidau,743,6823,704853.85,119626.27,4,2,3,3,3,0
nouvelle-plage,Nouvelle plage,46.856646399999995,6.848428,1470,CH,l,Neuenburgersee,estavayer,neuenburgersee,True,Estavayer,2054,9716,279436.64,52613.01,4,2,3,1,2,0
oben-am-see,Oben am see,46.74445107,8.049921099999999,3855,CH,l,Brienzersee,brienze-be,brienzersee,True,Brienz (BE),573,3092,166286.24,58335.9,12,0,2,1,1,3
oyonne,Oyonne,46.456682,6.852262,1814,CH,l,Lac Léman,la-tour-de-peilz,lac-leman,True,La Tour-de-Peilz,5889,11828,724526.78,97297.5,2,2,3,3,3,5
pacha-mama-gerra,pacha mama-gerra,46.123473,8.783508,6576,CH,l,Lago Maggiore,gambarogno,lago-maggiore,True,Gambarogno,5398,5192,71834.05,28428.32,18,1,3,0,0,0
parc-des-pierrettes,Parc des Pierrettes,46.515215000000005,6.575531,1025,CH,l,Lac Léman,saint-sulpice,lac-leman,True,Saint-Sulpice (VD),5648,4668,460379.59,84427.25,1,1,3,3,3,5
pecos-plage,Pécos Plage,46.80359,6.63665,1422,CH,l,Neuenburgersee,grandson,neuenburgersee,True,Grandson,5561,3357,206647.33,59804.74,6,0,2,2,1,0
plage-de-cheyres,Plage de Cheyres,46.818689,6.782255999999999,1468,CH,l,Neuenburgersee,cheyres,neuenburgersee,True,Cheyres-Châbles,2055,2320,105877.43,36331.28,6,0,2,0,0,2
plage-de-serriere,Plage de Serrière,46.98485,6.91345,2000,CH,l,Neuenburgersee,neuchatel,neuenburgersee,True,Neuchâtel,6458,33489,543939.86,103529.77,2,3,3,3,3,0
plage-de-st-sulpice,Plage de St Sulpice,46.513265000000004,6.570977,1025,CH,l,Lac Léman,saint-sulpice,lac-leman,True,Saint-Sulpice (VD),5648,4668,459027.19,73042.4,1,1,3,3,3,3
pointe-dareuse,Pointe d'Areuse,46.94619,6.87097,2017,CH,l,Neuenburgersee,boudry,neuenburgersee,True,Boudry,6404,6154,129672.66,32346.78,7,2,3,0,1,0
preverenges,Préverenges,46.51269,6.527657,1028,CH,l,Lac Léman,preverenges,lac-leman,True,Préverenges,5643,5287,315815.37,67150.56,2,1,3,2,2,20
preverenges-le-sout,preverenges-le sout,46.5089049,6.5345263,1028,CH,l,Lac Léman,preverenges,lac-leman,True,Préverenges,5643,5287,222911.45,55050.49,1,1,3,1,2,1
quai-maria-belgia,Quai Maria Belgia,46.460156,6.836717999999999,1800,CH,l,Lac Léman,vevey,lac-leman,True,Vevey,5890,19891,561590.25,72669.13,4,3,3,3,3,27
rastplatz-stampf,Rastplatz Stampf,47.215177000000004,8.844286,8645,CH,l,Zurichsee,jona-city,zurichsee,True,Rapperswil-Jona,3340,26999,240599.29,40257.28,5,3,3,0,2,5
rivapiana,Rivapiana,46.172079,8.813255,6648,CH,l,Lago Maggiore,minusio,lago-maggiore,True,Minusio,5118,7302,647093.65,87775.53,7,2,3,3,3,0
rocky-plage,Rocky plage,46.20973675,6.16495237,1208,CH,l,Lac Léman,geneve,lac-leman,True,Genève,6621,201818,857652.46,126987.14,4,3,3,3,3,0
ruisseau-de-la-croix-plage,Ruisseau de la croix plage,46.81392,6.7747,1468,CH,l,Neuenburgersee,cheyres,neuenburgersee,True,Cheyres-Châbles,2055,2320,90976.1,32162.85,7,0,2,0,0,0
san-nazzaro-gambarogno,san nazzaro-gambarogno,46.130443,8.798657,6575,CH,l,Lago Maggiore,gambarogno,lago-maggiore,True,Gambarogno,5398,5192,143190.46,45681.26,13,1,3,1,1,0
schmerikon-bahnhof-strand,Schmerikon Bahnhof Strand,47.224779999999996,8.944180000000001,Postal-code,CH,l,Zurichsee,schmerikon,zurichsee,True,Schmerikon,3338,3710,240206.05,75998.95,10,1,2,3,2,1
seeflechsen,seeflechsen,47.1302229,9.1033996,8872,CH,l,Walensee,glarus-nord,walensee,True,Glarus Nord,1630,18483,146327.91,67409.43,8,3,3,2,1,0
seemuhlestrasse-strand,Seemühlestrasse Strand,47.128640000000004,9.2951,8880,CH,l,Walensee,walenstadt,walensee,True,Walenstadt,3298,5679,142247.47,49025.31,8,1,3,1,1,0
sentiero-giro-del-golf-spiaggia,Sentiero Giro del Golf spiaggia,46.14577,8.79043,6612,CH,l,Lago Maggiore,ascona,lago-maggiore,True,Ascona,5091,5481,172358.94,26739.71,1,1,3,0,1,0
signalpain,Signalpain,46.7862,6.647360000000001,1400,CH,l,Neuenburgersee,yverdon-les-bains,neuenburgersee,True,Yverdon-les-Bains,5938,30157,661543.69,83932.33,8,3,3,3,3,1
strandboden-biel,Strandboden-Biel,47.132509999999996,7.233142,2503,CH,l,Bielersee,biel,bielersee,True,Biel/Bienne,371,55159,761109.25,124446.99,4,3,3,3,3,3
sundbach-strand,Sundbach strand,46.684385999999996,7.7947679999999995,3803,CH,l,Thunersee,beatenberg,thunersee,True,Beatenberg,571,1195,45866.4,40431.42,6,0,1,0,0,1
thun-strandbad,Thun Strandbad,46.739939,7.63352,3504,CH,l,Thunersee,thun,thunersee,True,Thun,942,43734,748536.53,97202.84,5,3,3,3,3,0
thunersee_spiez_meierd_1,thunersee_spiez_meierd_1,46.704436799999996,7.657882400000001,3646,CH,l,Thunersee,spiez,thunersee,True,Spiez,768,12812,94019.04,45857.96,3,2,3,1,0,0
tiger-duck-beach,Tiger duck beach,46.518256,6.582546000000001,1025,CH,l,Lac Léman,saint-sulpice,lac-leman,True,Saint-Sulpice (VD),5648,4668,526144.64,105280.83,1,1,3,3,3,17
tolochenaz,Tolochenaz,46.4975095,6.4828747,1131,CH,l,Lac Léman,tolochenaz,lac-leman,True,Tolochenaz,5649,1933,254424.15,63889.18,2,0,2,2,2,1
untertenzen,Untertenzen,47.11526,9.25478,8882,CH,l,Walensee,quarten,walensee,True,Quarten,3295,2937,107766.53,49483.16,5,0,2,1,0,0
versoix,Versoix,46.289194,6.1705693,1290,CH,l,Lac Léman,versoix,lac-leman,True,Versoix,6644,13432,329685.58,66797.94,5,2,3,2,2,1
vidy-ruines,Vidy ruines,46.516221,6.596278999999999,1007,CH,l,Lac Léman,lausanne,lac-leman,True,Lausanne,5586,139111,523940.65,99662.06,2,3,3,3,3,32
villa-barton,Villa Barton,46.22235,6.1525,1202,CH,l,Lac Léman,geneve,lac-leman,True,Genève,6621,201818,646629.38,85107.78,0,3,3,3,3,7
vira-gambarogno,Vira Gambarogno,46.143343,8.838759,6574,CH,l,Lago Maggiore,gambarogno,lago-maggiore,True,Gambarogno,5398,5192,122972.19,41461.29,17,1,3,0,1,0
vira-spiaggia-left-of-river,Vira spiaggia left of river,46.1429,8.838407,6573,CH,l,Lago Maggiore,gambarogno,lago-maggiore,True,Gambarogno,5398,5192,122855.0,42337.25,16,1,3,0,1,0
walensee_walenstadt_wysse,Walensee_Walenstadt_WyssE,47.1218282,9.299551699999999,8880,CH,l,Walensee,walenstadt,walensee,True,Walenstadt,3298,5679,209866.94,65367.54,9,1,3,2,1,19
weissenau-neuhaus,Weissenau-Neuhaus,46.676583,7.817528,3800,CH,l,Thunersee,unterseen,thunersee,True,Unterseen,593,5751,50435.6,46171.64,11,1,3,1,0,2
wycheley,Wycheley,46.74037,8.048639999999999,3855,CH,l,Brienzersee,brienze-be,brienzersee,True,Brienz (BE),573,3092,126565.22,50855.71,11,0,2,1,1,4
zuerichsee_richterswil_benkoem_2,zuerichsee_richterswil_benkoem_2,47.2176458,8.6987133,8805,CH,l,Zurichsee,richterswil,zurichsee,True,Richterswil,138,13513,319249.51,61790.8,3,2,3,2,2,3
zuerichsee_staefa_hennm,zuerichsee_staefa_hennm,47.23464310000001,8.7698814,8713,CH,l,Zurichsee,stafa,zurichsee,True,Stäfa,158,14497,164797.01,51404.36,4,2,3,1,1,1
zuerichsee_waedenswil_colomboc_1,zuerichsee_waedenswil_colomboc_1,47.219546799999996,8.691961099999999,8805,CH,l,Zurichsee,richterswil,zurichsee,True,Richterswil,138,13513,315093.89,68074.72,3,2,3,2,2,0
zurcher-strand,Zürcher Strand,47.3642,8.53742,8002,CH,l,Zurichsee,zurich,zurichsee,True,Zürich,261,415367,1657589.18,156630.49,5,3,3,3,3,15
zurichsee_kusnachterhorn_thirkell-whitej,Zürichsee_Küsnachterhorn_Thirkell WhiteJ,47.317684899999996,8.5768602,8700,CH,l,Zurichsee,kusnacht,zurichsee,True,Küsnacht (ZH),154,14397,440504.76,57835.42,3,2,3,1,3,9
zurichsee_wollishofen_langendorfm,zürichsee_wollishofen_langendorfm,47.345889899999996,8.5361545,8038,CH,l,Zurichsee,zurich,zurichsee,True,Zürich,261,415367,549380.04,94616.14,2,3,3,3,3,2
