slug,location,latitude,longitude,post,country,water,water_name,city_slug,water_name_slug,is_2020,city,bfsnum,population
camping-gwatt-strand,Camping Gwatt Strand,46.72714000,7.62962000,3645,CH,l,Thunersee,thun,thunersee,True,Thun,942,43734
chriesbach_duebendorf_schneidera,chriesbach_duebendorf_schneidera,47.40291950,8.60514580,8600,CH,r,Chriesbach,dubendorf,chriesbach,False,Dübendorf,191,28678
cudrefin-alternate,Cudrefin alternate,46.96397000,7.02744800,1588,CH,l,Neuenburgersee,cudrefin,neuenburgersee,True,Cudrefin,5456,1633
cully-plage,Cully plage,46.48888660,6.74139610,1096,CH,l,Lac Léman,bourg-en-lavaux,lac-leman,True,Bourg-en-Lavaux,5613,5369
delta-park,Delta park,46.72007800,7.63530400,3645,CH,l,Thunersee,spiez,thunersee,True,Spiez,768,12812
emme_biberist_jennim,emme_biberist_jennim,47.16922080,7.55899480,4562,CH,r,Emme,biberist,emme,False,Biberist,2513,8568
emme_luterbach_huggenbergerk,emme_luterbach_huggenbergerk,47.21194420,7.57401440,4528,CH,r,Emme,zuchwil,emme,False,Zuchwil,2534,8962
emme_utzenstorf_gruttert,Emme_Utzenstorf_Grüttert,47.12369600,7.53962700,3427,CH,r,Emme,utzenstorf,emme,False,Utzenstorf,552,4333
evole-plage,Evole plage,46.98947700,6.92392000,2000,CH,l,Neuenburgersee,neuchatel,neuenburgersee,True,Neuchâtel,6458,33489
flibach-river-right-bank,Flibach River Right bank,47.13374200,9.10546100,8872,CH,l,Walensee,weesen,walensee,True,Weesen,3316,1724
gals-reserve,Gals reserve,47.04627190,7.08500750,3238,CH,l,Bielersee,gals,bielersee,True,Gals,494,827
gerra-gambarogno,gerra-gambarogno,46.12336600,8.78578600,6576,CH,l,Lago Maggiore,gambarogno,lago-maggiore,True,Gambarogno,5398,5192
glatt_oerlikon_covosn,glatt_oerlikon_covosN,47.41676910,8.56671200,8152,CH,r,Glatt,opfikon,glatt,False,Opfikon,66,20361
goldach_goldach_schlachterj,goldach_goldach_schlachterj,47.47391110,9.45930940,9403,CH,r,Goldach,goldach,goldach,False,Goldach,3213,9269
grand-clos,Grand Clos,46.38774600,6.84368600,1898,CH,l,Lac Léman,saint-gingolph,lac-leman,True,Saint-Gingolph,6155,982
greifensee_fallanden_meistery,greifensee_fällanden_meistery,47.36093810,8.65372280,8117,CH,l,Greifensee,fallanden,greifensee,False,Fällanden,193,8672
