code,material,description,source,source_two,source_three,parent_code,direct,single_use,micro,ospar_code
G34,Plastic,"Cutlery, plates and trays",Food,food,none,Parent code,True,True,False,22
G35,Plastic,Straws and stirrers,Food,food,none,Parent code,True,True,False,22
G36,Plastic,"Bags/sacks heavy duty plastic for 25 Kg or more; animal feed, fertilizers, garden trash etc.",Packaging,ag,Indirect,Parent code,True,True,False,23
G37,Plastic,Mesh bags,Packaging,unk,,Parent code,True,False,False,
G38,Plastic,"Coverings; plastic packaging, sheeting for protecting large cargo items",Packaging,cat,none,Parent code,False,True,False,40
G39,Plastic,Gloves,Clothing,unk,,Parent code,True,False,False,
G4,Plastic,"Small plastic bags; freezer, zip-lock etc.",Packaging,packaging,Medical,Parent code,True,True,False,3
G40,Plastic,Gloves household/gardening,Clothing,unk,none,Parent code,True,False,False,25
G41,Plastic,Glove industrial/professional,Clothing,cat,none,Parent code,True,False,False,113
G42,Plastic,Crab lobster pots,Fishing,recre,,Parent code,True,False,False,
G43,Plastic,"Tags fishing or industry (security tags, seals)",Utility items,recre,none,Parent code,False,False,False,114
G44,Plastic,Octopus pots,Fishing,recre,,Parent code,True,False,False,
G45,Plastic,Mussel nets,Aquaculture,recre,,Parent code,True,False,False,
G46,Plastic,Oyster trays,Aquaculture,recre,,Parent code,True,False,False,
G47,Plastic,Sheeting from mussel culture,Aquaculture,recre,,Parent code,True,False,False,
G48,Plastic,"Rope, synthetic",Utility items,recre,Construction,Parent code,False,False,False,none
G49,Plastic,Rope > 1cm,Utility items,recre,,Parent code,True,False,False,
G5,Plastic,Generic plastic bags,Packaging,packaging,,Parent code,True,False,False,
G50,Plastic,String < 1cm,Utility items,recre,,Parent code,True,False,False,
G51,Plastic,Fishing net,Fishing,recre,,Parent code,True,False,False,
G52,Plastic,Nets and pieces,Fishing,recre,,Parent code,True,False,False,
G53,Plastic,Nets and pieces < 50cm,Fishing,recre,,Parent code,True,False,False,
G54,Plastic,Nets and pieces > 50cm,Fishing,recre,,Parent code,True,False,False,
G55,Plastic,Fishing line (entangled),Fishing,recre,,Parent code,True,False,False,
G56,Plastic,Tangled nets,Fishing,recre,,Parent code,True,False,False,
G57,Plastic,Fish boxes,Fishing,recre,,Parent code,True,False,False,
G58,Plastic,Foam fish box,Fishing,recre,,Parent code,True,False,False,
G59,Plastic,Fishing line monofilament (angling),Fishing,recre,,Parent code,True,False,False,
G6,Plastic,"Bottles and containers, plastic non food/drink",Packaging,packaging,Direct,Parent code,True,True,False,11
G60,Plastic,Light sticks,Fishing,recre,,Parent code,True,False,False,
G61,Plastic,Other fishing related,Fishing,recre,,Parent code,True,False,False,
G62,Plastic,Floats for nets,Fishing,recre,,Parent code,True,False,False,
G63,Plastic,Buoys,Undefined,recre,,Parent code,True,False,False,
G64,Plastic,Fenders,Vehicle,unk,,Parent code,True,False,False,
G65,Plastic,Buckets,Utility items,cat,,Parent code,True,False,False,
G66,Plastic,"Straps/bands;  hard, plastic package fastener",Packaging,cons,none,Parent code,True,False,False,39
G67,Plastic,Industrial sheeting,Utility items,cat,none,Parent code,False,False,False,40
G68,Plastic,Fiberglass fragments,Fishing,cons,,Parent code,True,False,False,
G69,Plastic,Helmets or hardhats,Clothing,cons,,Parent code,True,False,False,
G7,Plastic,Drink bottles < = 0.5L,Packaging,food,Where does it come from,Parent code,True,True,False,4
G70,Plastic,Shotgun cartridges,Hunting,recre,,Parent code,True,False,False,
G71,Plastic,Shoes sandals,Clothing,pi,,Parent code,True,False,False,
G72,Plastic,Traffic cones,Utility items,cons,,Parent code,True,False,False,
G73,Plastic,Foamed items & pieces (not packaging or insulation related) made of foamed sponge-like material,Undefined,recre,Recreation,Parent code,True,False,False,45
G74,Plastic,Foamed plastic  for thermal insulation or packing material,Undefined,cons,Industrial,Parent code,False,False,False,45
G75,Plastic,Plastic/polystyrene pcs 0 - 2.5 cm,Undefined,plasticpcs,none,Parent code,True,False,False,117
G76,Plastic,Plastic/foamed polystyrene 2.5 > < 50,Undefined,plasticpcs,Indirect,Parent code,True,False,False,46
G77,Plastic,Plastic or polystyrene  > 50cm,Undefined,unk,,Parent code,True,False,False,
G78,Plastic,Plastic pieces 0.5cm - 2.5cm,Undefined,plasticpcs,none,Parent code,True,False,False,117
G79,Plastic,Plastic pieces 2.5cm - 50cm,Undefined,plasticpcs,None,Parent code,True,False,False,46
G8,Plastic,Drink bottles  > 0.5L,Packaging,food,none,Parent code,True,True,False,4
G80,Plastic,Plastic pieces > 50cm,Undefined,plasticpcs,,Parent code,True,False,False,
G81,Plastic,Foamed polystyrene pieces 0.5cm - 2.5cm,Packaging,cons,None,Parent code,False,False,False,117
G82,Plastic,Foam polystyrene; expanded beads/balls  2.5cm - 50cm,Undefined,cons,Construction,Parent code,False,False,False,46
G83,Plastic,Polystyrene pieces > 50cm,Undefined,cons,,Parent code,True,False,False,
G84,Plastic,CD or CD box,Packaging,pi,,Parent code,True,False,False,
G85,Plastic,Salt packaging,Packaging,unk,,Parent code,True,False,False,
G86,Plastic,Fin trees,Recreation,recre,,Parent code,True,False,False,
G87,Plastic,"Tape, masking/duct/packing",Utility items,cons,none,Parent code,False,False,False,48
G88,Plastic,Telephone incl. parts,Utility items,pi,none,Parent code,True,False,False,48
G89,Plastic,Plastic construction waste,Construction,cons,,Parent code,True,False,False,
G9,Plastic,"Cleaner, chemical bottles & containers",Packaging,cons,Industry,Parent code,True,True,False,5
G90,Plastic,Plastic flower pots,Agriculture,unk,,Parent code,True,False,False,
G901,Plastic,"Mask medical, synthetic",Personal hygiene,pi,none,G124,True,True,False,48
G903,Plastic,Hand sanitizer containers & packets,Personal hygiene,pi,none,G12,True,True,False,7
G904,Plastic,"Fireworks; rocket caps, exploded parts & packaging",Recreation,recre,none,G124,False,True,False,48
G905,Plastic,"Hair clip,  hair ties, personal accessories plastic",Personal hygiene,pi,Where does it come from,G124,True,False,False,48
G907,Plastic,coffee capsules plastic,Undefined,pi,none,G124,False,True,False,48
G908,Plastic,"Tape; electrical, insulating",Construction,cons,none,G124,False,False,False,48
G909,Plastic,"Foamed-plastic for insulation; yellow, pink, blue/green & spray foams 0.5cm - 2.5cm",Construction,cons,none,G74,False,False,False,45
G91,Plastic,Biomass holder,Water Treatment,waste_water,none,Parent code,False,False,False,91
G910,Plastic,"Foamed-plastic for insulation; yellow, pink, blue/green & spray foams 2.5cm - 50cm",Construction,cons,none,G74,False,False,False,46
G911,Plastic,Foamed polystyrene pieces 0.5cm - 2.5 cm,Packaging,cons,none,G81,False,True,False,117
G912,Plastic,Foam polystyrene; expanded beads/balls  2.5cm - 50cm,Packaging,cons,none,G82,False,True,False,46
G913,Plastic,Pacifier,Personal hygiene,pi,none,G124,True,False,False,48
G914,Plastic,"Paperclips, clothespins, plastic utility items",Utility items,pi,none,G124,True,False,False,48
G915,Plastic,"Reflectors, plastic motility items",Utility items,pi,none,G124,True,False,False,48
G92,Plastic,Bait containers,Fishing,recre,,Parent code,True,False,False,
G922,Plastic,"Labels, bar codes",Packaging,packaging,none,G124,True,True,False,48
G925,Plastic,"Packets: desiccant/ moisture absorbers, plastic case filled with silica",Utility items,packaging,none,G124,True,True,False,Ospar...
G926,Plastic,"Chewing gum, often contains plastics",Undefined,food,Where does it come from,G124,True,True,False,Ospar...
G927,Plastic,"String trimmer line, used to cut grass, weeds, and shrubbery",Utility items,unk,Where does it come from,G124,True,True,False,Ospar...
G928,Plastic,Ribbons and bows,Recreation,unk,Where does it come from,G124,True,True,False,Ospar...
G93,Plastic,"Cable ties; steggel, zip, zap straps",Utility items,cons,none,Parent code,False,True,False,48
G930,Plastic,Foam earplugs,Personal hygiene,pi,Where does it come from,G124,True,True,False,Ospar...
G931,Plastic,"Tape-caution for barrier, police, construction etc.",Utility items,cons,Recreation,G124,True,True,False,Ospar...
G932,Plastic,"Bio-beads, micro plastic for wastewater treatment, irregular shape, ridged sides < 5mm",Water Treatment,waste_water,Where does it come from,G91,False,False,True,Ospar...
G933,Plastic,"Bags, cases for accessories; glasses, electronics, incl. straps, pieces, plstc. nylon etc.",Undefined,pi,Where does it come from,G124,True,False,False,Ospar...
G934,Plastic,"Sandbag, plastic for flood, erosion control etc..",Construction,cat,Where does it come from,G124,True,True,False,Ospar...
G935,Plastic,"Walking stick pads and pieces, often elastomeric material",Recreation,pi,Where does it come from,G124,False,False,False,Ospar...
G936,Plastic,Sheeting ag. greenhouse film,Agriculture,ag,Where does it come from,G67,False,False,False,40
G937,Plastic,Pheromone baits for vineyards,Agriculture,ag,Where does it come from,G124,False,False,False,Ospar...
G938,Plastic,"Toothpicks, dental floss plastic",Personal hygiene,food,Where does it come from,G124,True,True,False,Ospar...
G939,Plastic,"Flowers, plants plastic",Undefined,unk,Where does it come from,G124,False,False,False,Ospar...
G94,Plastic,Table cloth,Utility items,recre,,Parent code,True,False,False,
G940,Plastic,Foamed EVA (flexible plastic) for crafts & watersports,Recreation,recre,Where does it come from,G73,True,False,False,Ospar...
G941,Plastic,Packaging plastic nonfood or unknown,Packaging,packaging,Where does it come from,G124,False,True,False,48
G942,Plastic,"Plastic shavings from lathes, CNC machining",Industry,unk,Where does it come from,G124,False,False,False,Ospar...
G943,Plastic,"Fencing agriculture, plastic",Agriculture,ag,Where does it come from,G124,False,False,False,Ospar...
G944,Plastic,Pellet mass from injection molding,Industry,unk,Where does it come from,G112,False,True,False,Ospar...
G95,Plastic,Cotton bud/swab sticks,Personal hygiene,waste_water,Indirect,Parent code,False,True,False,98
G96,Plastic,Sanitary pads /panty liners/tampons and applicators,Personal hygiene,waste_water,none,Parent code,False,True,False,99
G97,Plastic,Toilet fresheners,Personal hygiene,waste_water,,Parent code,True,False,False,
G98,Plastic,Diapers - wipes,Personal hygiene,waste_water,none,Parent code,True,True,False,102
G99,Plastic,Syringes - needles,Medical,pi,,Parent code,True,False,False,
G125,Rubber,Balloons and balloon sticks,Recreation,recre,Direct,Parent code,True,True,False,49
G126,Rubber,Balls,Recreation,recre,,Parent code,True,False,False,
G127,Rubber,Rubber boots,Clothing,unk,,Parent code,True,False,False,
G128,Rubber,Tires and belts,Vehicle,unk,,Parent code,True,False,False,
G129,Rubber,Inner tubes and rubber sheets,Vehicle,unk,,Parent code,True,False,False,
G130,Rubber,Wheels,Vehicle,unk,,Parent code,True,False,False,
G131,Rubber,Rubber bands,Utility items,pi,,Parent code,True,False,False,
G132,Rubber,Bobbers (fishing),Fishing,recre,,Parent code,True,False,False,
G133,Rubber,Condoms incl. packaging,Personal hygiene,waste_water,none,Parent code,True,True,False,97
G134,Rubber,Other rubber,Undefined,unk,,Parent code,True,False,False,
G900,Rubber,Gloves latex  personal protective equipment,Personal hygiene,pi,none,G134,True,True,False,53
G998,Undefined,No exposed shoreline,Where does it come from,unk,Where does it come from,Parent code,True,False,False,Ospar...
G211,Unidentified,"Other medical items (swabs, bandaging, adhesive plaster)",Medical,pi,none,Parent code,True,True,False,105
G999,Unidentified,No objects found on this survey,Undefined,unk,,Parent code,True,False,False,
G159,Wood,Corks,Packaging,food,,Parent code,True,False,False,
G160,Wood,Pallets,Packaging,cons,,Parent code,True,False,False,
G161,Wood,Processed timber,Packaging,cat,none,Parent code,False,False,False,69
G162,Wood,Crates,Packaging,cons,,Parent code,True,False,False,
G163,Wood,Crab lobster pots,Fishing,recre,,Parent code,True,False,False,
G164,Wood,Fish boxes,Fishing,recre,,Parent code,True,False,False,
G165,Wood,"Ice cream sticks, toothpicks, chopsticks",Packaging,food,none,Parent code,True,True,False,72
G166,Wood,Paint brushes,Utility items,cons,,Parent code,True,False,False,
G167,Wood,Matches or fireworks,Recreation,recre,,Parent code,True,False,False,
G168,Wood,Wood boards,Undefined,cat,,Parent code,True,False,False,
G169,Wood,"Beams, dunnage",Undefined,cons,,Parent code,True,False,False,
G170,Wood,Wood (processed),Undefined,cat,,Parent code,True,False,False,
G171,Wood,Other wood < 50cm,Undefined,cat,,Parent code,True,False,False,
G172,Wood,Other wood > 50cm,Undefined,cat,,Parent code,True,False,False,
G173,Wood,Other,Undefined,unk,,Parent code,True,False,False,
G916,Wood,Pencils and pieces,Utility items,pi,none,G170,True,False,False,none
