code,material,description,source,source_two,source_three,parent_code,direct,single_use,micro,ospar_code
G90,Plastic,Plastic flower pots,Agriculture,Where does it come from,,Parent code,True,False,False,
G901,Plastic,"Mask medical, synthetic",Personal hygiene,Where does it come from,none,G124,True,True,False,48
G903,Plastic,Hand sanitizer containers & packets,Personal hygiene,Where does it come from,none,G12,True,True,False,7
G905,Plastic,"Hair clip,  hair ties, personal accessories plastic",Personal hygiene,Where does it come from,Where does it come from,G124,True,False,False,48
G907,Plastic,coffee capsules plastic,Undefined,Where does it come from,none,G124,False,True,False,48
G909,Plastic,"Foamed-plastic for insulation; yellow, pink, blue/green & spray foams 0.5cm - 2.5cm",Construction,none,none,G74,False,False,False,45
G910,Plastic,"Foamed-plastic for insulation; yellow, pink, blue/green & spray foams 2.5cm - 50cm",Construction,Where does it come from,none,G74,False,False,False,46
G911,Plastic,Foamed polystyrene pieces 0.5cm - 2.5 cm,Packaging,Construction,none,G81,False,True,False,117
G912,Plastic,Foam polystyrene; expanded beads/balls  2.5cm - 50cm,Packaging,Construction,none,G82,False,True,False,46
G913,Plastic,Pacifier,Personal hygiene,Where does it come from,none,G124,True,False,False,48
G914,Plastic,"Paperclips, clothespins, plastic utility items",Utility items,Where does it come from,none,G124,True,False,False,48
G915,Plastic,"Reflectors, plastic motility items",Utility items,Recreation,none,G124,True,False,False,48
G922,Plastic,"Labels, bar codes",Packaging,Where does it come from,none,G124,True,True,False,48
G925,Plastic,"Packets: desiccant/ moisture absorbers, plastic case filled with silica",Utility items,Packaging,none,G124,True,True,False,Ospar...
G926,Plastic,"Chewing gum, often contains plastics",Undefined,Where does it come from,Where does it come from,G124,True,True,False,Ospar...
G927,Plastic,"String trimmer line, used to cut grass, weeds, and shrubbery",Utility items,Where does it come from,Where does it come from,G124,True,True,False,Ospar...
G928,Plastic,Ribbons and bows,Recreation,Where does it come from,Where does it come from,G124,True,True,False,Ospar...
G930,Plastic,Foam earplugs,Personal hygiene,Where does it come from,Where does it come from,G124,True,True,False,Ospar...
G932,Plastic,"Bio-beads, micro plastic for wastewater treatment, irregular shape, ridged sides < 5mm",Water Treatment,Where does it come from,Where does it come from,G91,False,False,True,Ospar...
G933,Plastic,"Bags, cases for accessories; glasses, electronics, incl. straps, pieces, plstc. nylon etc.",Undefined,Personal equipment,Where does it come from,G124,True,False,False,Ospar...
G935,Plastic,"Walking stick pads and pieces, often elastomeric material",Recreation,Where does it come from,Where does it come from,G124,False,False,False,Ospar...
