UUID,DATUM_AEND,DATUM_ERST,ERSTELL_J,ERSTELL_M,REVISION_J,REVISION_M,GRUND_AEND,HERKUNFT,HERKUNFT_J,HERKUNFT_M,OBJEKTART,REVISION_Q,KUNSTBAUTE,WANDERWEGE,BEFAHRBARK,EROEFFNUNG,STUFE,RICHTUNGSG,STR_NAME_U,NAME,BELAGSART,KREISEL,VERKEHRSBE,EIGENTUEME,VERKEHRSBD,slug,water_name,city_slug,length
{C5972438-D642-4D09-A48D-5D508377F0A7},2016/02/09,2007/09/20,2003,,2014,6,verbessert,swisstopo,2014,6,Autobahn,2015_Aufbau,Keine,,k_W,,0,Wahr,,,Hart,Falsch,,Bund,Hochleistungsstrasse,rhein_domatems_foppa_f,Rhein,domat-ems,46490.432
{92ED59C2-0523-43EB-9A8A-582F45E876F7},2016/02/25,2009/04/27,2006,4,2019,6,verbessert,swisstopo,2015,6,6m Strasse,2018_Aufbau,Keine,,k_W,,0,Falsch,,,Hart,Falsch,,Kanton,Verbindungsstrasse,vira-gambarogno,Lago Maggiore,gambarogno,21127.242
{D9D62A7C-BDDC-44F9-9C9B-DBE9F30084F4},2016/08/30,2009/08/12,2004,8,2016,6,verbessert,swisstopo,2016,6,4m Strasse,2016_Aufbau,Keine,Wanderweg,k_W,,0,Falsch,,,Hart,Falsch,,Kanton,Verbindungsstrasse,ruisseau-de-la-croix-plage,Neuenburgersee,cheyres,14918.894
{4E02CF0A-9306-41D5-9646-E444A2BB95B3},2019/11/22,2009/04/27,2006,4,2019,6,verbessert,swisstopo,2019,6,Autostrasse,2018_Aufbau,Tunnel,,k_W,,-2,Falsch,{D1697E97-9F5F-461E-B27E-4895651D4BCD},Galleria Mappo-Morettina,Hart,Falsch,,Bund,Hochleistungsstrasse,route-13,Maggia,locarno,64031.976
{5392D933-C88D-40DE-86D2-1029209D4325},2019/07/05,2009/04/27,2005,4,2019,7,verbessert,swisstopo,2019,7,Autobahn,2018_Aufbau,Keine,,k_W,,0,Wahr,,,Hart,Falsch,,Bund,Hochleistungsstrasse,emme_luterbach_huggenbergerk,Emme,zuchwil,47787.194
{09B8907D-A72E-49B0-A620-D307EE1BE98C},2017/01/04,2007/09/20,2000,,2016,6,verbessert,swisstopo,2016,6,Autobahn,1412_Aufbau,Bruecke,,k_W,,1,Wahr,,,Hart,Falsch,,Bund,Hochleistungsstrasse,sihl_zurich_himmelhebern,Sihl,zurich,63209.392
{6D2183F5-954C-4BAD-9ECF-6F0781A3582C},2015/10/16,2009/04/27,2000,4,2013,6,verbessert,swisstopo,2010,7,Ausfahrt,2015_Aufbau,Keine,,k_W,,0,Wahr,,,Hart,k_W,,Bund,Hochleistungsstrasse,sempachersee_sempach_tampec,Sempachsee,sempach,30833.915
{087D9AC4-E653-4143-A2F5-41022FC40622},2015/10/07,2007/09/20,2000,,2013,6,verbessert,swisstopo,2010,6,Autobahn,1412_Aufbau,Keine,,k_W,,0,Wahr,,,Hart,Falsch,,Bund,Hochleistungsstrasse,limmat_zuerich_jansena,Limmat,zurich,73821.309
{E4C341E7-1FEF-4B83-A065-1D07733946CC},2016/02/15,2007/09/20,2002,,2013,6,verbessert,swisstopo,2013,6,6m Strasse,1412_Aufbau,Keine,,k_W,,0,Falsch,,,Hart,Falsch,,Kanton,Durchgangsstrasse,schmerikon-bahnhof-strand,Zurichsee,schmerikon,33135.666
{A20D653E-2DB6-4E00-9026-5C8EFDC15BBB},2019/05/24,2009/04/27,2005,4,2019,10,verbessert,swisstopo,2018,6,Autobahn,2018_Aufbau,Bruecke,,k_W,,1,Wahr,{C5B0729E-53A8-4857-A4A5-029BF21C2A4E},Viaduc du Landeron Est,Hart,Falsch,,Bund,Hochleistungsstrasse,camp-des-peches,Bielersee,le-landeron,36996.193
