slug,location,latitude,longitude,city,post,country,water,water_name,city_slug,water_na_1,is_2020,NUMPOINTS
toss_kollbrunn_burgid,töss_kollbrunn_bürgid,47.454569800000002,8.779680000000001,Zell,8483,CH,r,Töss,zell,ti12ss,False,0
toss_winterthur-2,Töss_Winterthur 2,47.478707300000003,8.708426400000000,Winterthur,8406,CH,r,Töss,winterthur,ti12ss,False,0
unterdsee_ermatingen_brunkem,unterdsee_ermatingen_brunkem,47.672633300000001,9.081246200000001,Ermatingen,8272,CH,l,Untersee,ermatingen,untersee,False,0
untersee_steckborn_siedlerm,untersee_steckborn_siedlerm,48.495754099999999,27.074215800000001,Selyshche,60216,CH,l,Untersee,selyshche,untersee,False,0
urnaesch_urnaesch_meierr,urnaesch_urnaesch_meierr,47.325098599999997,9.295418800000000,Hundwil,9107,CH,r,Urnäsch,hundwil,urnasch,False,0
versoix,Versoix,46.289194000000002,6.170569300000000,Versoix,1290,CH,l,Lac Léman,versoix,lac-leman,True,9
veveyse,Veveyse,46.461022000000000,6.834983000000000,Vevey,1800,CH,l,Lac Léman,vevey,lac-leman,False,10
vidy,Vidy,46.514715500000001,6.598588400000000,Lausanne,1007,CH,l,Lac Léman,lausanne,lac-leman,False,4
vidy-ruines,Vidy ruines,46.516221000000002,6.596279000000000,Lausanne,1007,CH,l,Lac Léman,lausanne,lac-leman,True,4
vierwaldstattersee_weggis_schoberls_1,vierwaldstättersee_weggis_schöberls_1,47.044532099999998,8.418568900000000,Weggis,6353,CH,l,Quatre Cantons,weggis,quatre-cantons,False,0
vierwaldstattersee_weggis_schoberls_2,vierwaldstättersee_weggis_schöberls_2,47.043953000000002,8.417307599999999,Weggis,6353,CH,l,Quatre Cantons,weggis,quatre-cantons,False,0
vierwaldstattersee_weggis_schoberls_3,vierwaldstättersee_weggis_schöberls_3,47.029956599999998,8.410800999999999,Weggis,6353,CH,l,Quatre Cantons,weggis,quatre-cantons,False,0
villa-barton,Villa Barton,46.222349999999999,6.152500000000000,Genève,1202,CH,l,Lac Léman,geneve,lac-leman,True,0
vira-gambarogno,Vira Gambarogno,46.143343000000002,8.838759000000000,Gambarogno,6574,CH,l,Lago Maggiore,gambarogno,lago-maggiore,True,34
vira-spiaggia-left-of-river,Vira spiaggia left of river,46.142899999999997,8.838407000000000,Gambarogno,6573,CH,l,Lago Maggiore,gambarogno,lago-maggiore,True,32
vorderrhein_disentis_schmidn,vorderrhein_disentis_schmidn,46.698273899999997,8.857837300000000,Disentis Mustér,7180,CH,r,Vorderrhein,disentis-muster,vorderrhein,False,0
walensee_walenstadt_wysse,Walensee_Walenstadt_WyssE,47.121828200000003,9.299551700000000,Walenstadt,8880,CH,l,Walensee,walenstadt,walensee,True,16
weissenau-neuhaus,Weissenau-Neuhaus,46.676583000000001,7.817528000000000,Unterseen,3800,CH,l,Thunersee,unterseen,thunersee,True,21
wycheley,Wycheley,46.740369999999999,8.048640000000001,Brienze (BE),3855,CH,l,Brienzersee,brienze-be,brienzersee,True,22
zuerichsee_maennedorf_vanderkaadene,zuerichsee_maennedorf_vanderkaadene,47.254753999999998,8.687503800000000,Männedorf,8708,CH,l,Zurichsee,mannedorf,zurichsee,False,12
zuerichsee_richterswil_benkoem_2,zuerichsee_richterswil_benkoem_2,47.217645800000000,8.698713300000000,Richterswil,8805,CH,l,Zurichsee,richterswil,zurichsee,True,6
zuerichsee_staefa_hennm,zuerichsee_staefa_hennm,47.234643100000000,8.769881399999999,Stäfa,8713,CH,l,Zurichsee,stafa,zurichsee,False,8
zuerichsee_waedenswil_colomboc_1,zuerichsee_waedenswil_colomboc_1,47.219546800000003,8.691961100000000,Richterswil,8805,CH,l,Zurichsee,richterswil,zurichsee,True,6
zuerichsee_zurich_kullg,zuerichsee_zurich_kullg,47.353957299999998,8.550474299999999,Zurich,8008,CH,l,Zurichsee,zurich,zurichsee,False,6
zugerseecholler_cham_blarerm,ZugerseeCholler_Cham_BlarerM,47.178215700000003,8.480012800000001,Zug,6300,CH,l,Zugersee,zug,zugersee,True,0
zugersee_immensee_guedesd,zugersee_Immensee_Guedesd,47.106686900000000,8.478881200000000,Meierskappel,6344,CH,l,Zugersee,meierskappel,zugersee,True,0
zulg_steffisburg_schmassmanne,zulg_steffisburg_schmassmanne,46.774243100000000,7.624537200000000,Steffisburg,3612,CH,r,Zulg,steffisburg,zulg,False,0
zurcher-strand,Zürcher Strand,47.364199999999997,8.537419999999999,Zurich,8002,CH,l,Zurichsee,zurich,zurichsee,True,6
zurichsee-feldeggstr-banningersand,Zürichsee Feldeggstr BänningerSand,47.359392200000002,8.547368199999999,Zurich,8008,CH,l,Zurichsee,zurich,zurichsee,False,10
zurichsee_kusnachterhorn_thirkell-whitej,Zürichsee_Küsnachterhorn_Thirkell WhiteJ,47.317684900000003,8.576860200000000,Küsnacht,8700,CH,l,Zurichsee,kusnacht,zurichsee,True,6
zurichsee_wollishofen_langendorfm,zürichsee_wollishofen_langendorfm,47.345889900000003,8.536154500000000,Zurich,8038,CH,l,Zurichsee,zurich,zurichsee,True,4
