slug,location,latitude,longitude,city,post,country,water,water_name,city_slug,water_na_1,is_2020,NUMPOINTS
camp-des-peches,Camp des pêches,47.052812000000003,7.074053000000000,Le Landeron,2525,CH,l,Bielersee,le-landeron,bielersee,True,16
camping-gwatt-strand,Camping Gwatt Strand,46.727139999999999,7.629620000000000,Thun,3645,CH,l,Thunersee,thun,thunersee,True,12
chriesbach_duebendorf_schneidera,chriesbach_duebendorf_schneidera,47.402919500000003,8.605145800000001,Dübendorf,8600,CH,r,Chriesbach,dubendorf,chriesbach,False,0
cudrefin-alternate,Cudrefin alternate,46.963970000000003,7.027448000000000,Cudrefin,1588,CH,l,Neuenburgersee,cudrefin,neuenburgersee,True,12
cully-plage,Cully plage,46.488886600000001,6.741396100000000,Bourg-en-Lavaux,1096,CH,l,Lac Léman,bourg-en-lavaux,lac-leman,True,16
delta-park,Delta park,46.720078000000001,7.635304000000000,Spiez,3645,CH,l,Thunersee,spiez,thunersee,True,12
emme_biberist_jennim,emme_biberist_jennim,47.169220799999998,7.558994800000000,Biberist,4562,CH,r,Emme,biberist,emme,False,0
emme_luterbach_huggenbergerk,emme_luterbach_huggenbergerk,47.211944199999998,7.574014400000000,Zuchwil,4528,CH,r,Emme,zuchwil,emme,False,0
emme_utzenstorf_gruttert,Emme_Utzenstorf_Grüttert,47.123696000000002,7.539627000000000,Utzenstorf,3427,CH,r,Emme,utzenstorf,emme,False,0
evole-plage,Evole plage,46.989477000000001,6.923920000000000,Neuchâtel,2000,CH,l,Neuenburgersee,neuchatel,neuenburgersee,True,2
flibach-river-right-bank,Flibach River Right bank,47.133741999999998,9.105461000000000,Weesen,8872,CH,l,Walensee,weesen,walensee,True,15
gals-reserve,Gals reserve,47.046271900000001,7.085007500000000,Gals,3238,CH,l,Bielersee,gals,bielersee,True,16
gerra-gambarogno,gerra-gambarogno,46.123365999999997,8.785786000000000,Gambarogno,6576,CH,l,Lago Maggiore,gambarogno,lago-maggiore,True,34
glatt_oerlikon_covosn,glatt_oerlikon_covosN,47.416769100000003,8.566712000000001,Opfikon,8152,CH,r,Glatt,opfikon,glatt,False,0
goldach_goldach_schlachterj,goldach_goldach_schlachterj,47.473911100000002,9.459309400000000,Goldach,9403,CH,r,Goldach,goldach,goldach,False,0
grand-clos,Grand Clos,46.387746000000000,6.843686000000000,Saint Gingolph,1898,CH,l,Lac Léman,saint-gingolph,lac-leman,True,12
