UUID,DATUM_AEND,DATUM_ERST,ERSTELL_J,ERSTELL_M,REVISION_J,REVISION_M,GRUND_AEND,HERKUNFT,HERKUNFT_J,HERKUNFT_M,OBJEKTART,REVISION_Q,BAU_NAME_U,NAME,NUTZUNG,slug,water_name,city_slug,area
{6CB07BB9-E860-4D2D-A34A-87FF6A58A81B},2014/09/29,2011/06/07,2009,6,2015,6,verbessert,swisstopo,2012,6,Gebaeude,2016_Aufbau,,,,cully-plage,Lac Léman,bourg-en-lavaux,11338.686
{D9AB4B9C-91E8-4442-AA2C-822A0341D586},2014/01/13,2008/12/11,2008,5,2014,6,verbessert,swisstopo,2011,6,Gebaeude,2015_Aufbau,,,,toss_winterthur-2,Töss,winterthur,16363.595
{66F4B88D-31DC-4E91-9CE0-3362F435999E},2013/10/09,2013/10/09,2013,6,2013,6,verbessert,swisstopo,2013,6,Kapelle,2015_Aufbau,,,,vierwaldstattersee_weggis_schoberls_3,Quatre Cantons,weggis,23961.974
{6109B877-3A6C-46A2-B2CB-F72F7C72D730},2014/03/03,2009/11/24,2009,4,2015,6,verbessert,swisstopo,2012,6,Gebaeude,2016_Aufbau,,,,san-nazzaro-gambarogno,Lago Maggiore,gambarogno,26207.072
{4D2C4815-1A65-4BC5-95FD-73FDCE9F9A06},2016/03/30,2014/05/06,2012,6,2015,6,verbessert,swisstopo,2015,6,Turm,2016_Aufbau,{3531C7D8-980F-4AE1-A5A4-CE1A31C924F9},Le Phare de Genève,Leuchtturm,baby-plage-geneva,Lac Léman,geneve,61378.836
{1CE87EF9-6E7E-4A9F-8BD4-5C8D344270FB},2014/05/26,2011/06/06,2009,6,2015,6,verbessert,swisstopo,2012,6,Gebaeude,2016_Aufbau,,,,lacleman_vidy_santie,Lac Léman,lausanne,17644.493
{3C8842A5-AC31-4E87-93C2-2F75A94C326A},2013/08/16,2013/08/16,2013,6,2013,6,verbessert,swisstopo,2013,6,Hochkamin,1412_Aufbau,,,,aare-limmatspitz,Aare,gebenstorf,45453.103
{B4618493-073F-4D65-B482-64CBC6E9BD0D},2018/11/27,2009/08/18,2008,8,2014,6,verbessert,swisstopo,2014,6,Gebaeude,2015_Aufbau,,,,mols-rocks,Walensee,quarten,13991.526
{EC628EBE-91D6-4EEE-8590-3AD73B3DB681},2014/04/01,2010/12/08,2010,3,2016,6,verbessert,swisstopo,2013,6,Gebaeude,2016_Aufbau,{51FCAF62-EE1D-410D-99B0-BABECBC71261},Restaurant Sensestrand Hollywood,Gasthof abgelegen,sense_torishaus_g-cubes,Sense,koniz,12497.815
{8219780F-E3ED-4A7D-A9B7-9D293F29B7BB},2013/05/29,2013/05/29,2010,6,2013,6,verbessert,swisstopo,2010,6,Treibhaus,1412_Aufbau,,,,greifensee_uster_fischerb_1,Greifensee,uster,13077.175
{B3365C8D-7264-4B55-B6F5-7DE2F0B39A22},2016/01/05,2016/01/05,2016,1,2016,1,verbessert,3D-GebCH_T2015,2015,6,Gebaeude,2016_Aufbau,,,,saint-sulpice,Lac Léman,saint-sulpice,12112.926
{85EA5288-02D9-4293-B062-FBE1978622A2},2016/10/28,2014/02/25,2011,6,2018,6,verbessert,swisstopo,2014,6,Sakraler Turm,2018_Aufbau,,,,schusspark-strand,Schüss,biel,155775.724
{386992B7-40A1-465D-90D4-6D96C5D8D1CE},2014/03/03,2009/11/24,2009,4,2015,6,verbessert,swisstopo,2012,6,Gebaeude,2016_Aufbau,,,,pacha-mama-gerra,Lago Maggiore,gambarogno,25608.726
{75DBFCAF-8E42-4BD8-9985-B779A6DBCE27},2014/07/08,2014/06/03,2014,6,2013,6,verbessert,swisstopo,2013,6,Gebaeude,1412_Aufbau,,,,greifensee_maur_simmenc,Greifensee,maur,3046.419
{8C708B86-ED7A-49AD-AC00-3341F0E522B9},2015/01/13,2011/01/31,2010,3,2016,6,verbessert,swisstopo,2013,6,Gebaeude,2016_Aufbau,,,,bern-fahrstrasse,Aare,bern,59905.024
{C45ADD63-0458-4936-8A96-2FDC659BA8F6},2016/07/19,2009/02/19,2005,6,2018,6,verbessert,swisstopo,2015,6,Treibhaus,2018_Aufbau,,,,bielersee_vinelz_fankhausers,Bielersee,vinelz,25628.504
{2482AAF7-8CB0-421F-86CC-26BA9E9C95C5},2013/08/28,2013/08/28,2012,6,2012,6,verbessert,swisstopo,2012,6,Gebaeude,1312_Aufbau,,,,weissenau-neuhaus,Thunersee,unterseen,7772.041
{0019B339-EEDB-421D-AA51-8D9E19A532F1},2014/02/18,2009/03/17,2008,5,2014,6,verbessert,swisstopo,2011,6,Gebaeude,2015_Aufbau,,,,thur_schwarzenbach_meiliw,Thur,wil,66789.938
{386992B7-40A1-465D-90D4-6D96C5D8D1CE},2014/03/03,2009/11/24,2009,4,2015,6,verbessert,swisstopo,2012,6,Gebaeude,2016_Aufbau,,,,gerra-gambarogno,Lago Maggiore,gambarogno,32537.818
{C5E4A542-45E0-462B-8DD3-F74FBA54F96F},2018/11/27,2008/03/19,2002,6,2014,6,verbessert,swisstopo,2014,6,Gebaeude,2015_Aufbau,,,,linth_mollis,Linthkanal,glarus-nord,45498.102
{5A2E9089-9B09-49F7-B910-2247DA4C5E69},2016/01/05,2016/01/05,2016,1,2016,1,verbessert,3D-GebCH_T2015,2015,6,Gebaeude,2016_Aufbau,,,,versoix,Lac Léman,versoix,33440.663
{A4A1DBF4-7B8E-4028-94CD-9D2423F48E13},2014/12/09,2011/06/09,2010,4,2016,6,verbessert,swisstopo,2013,6,Gebaeude,2017_Aufbau,,,,pierrier-sud,Lac Léman,montreux,90676.894
{A38409F6-37CA-4CD3-B67F-15BFE09BFF33},2013/12/03,2009/08/11,2008,7,2014,6,verbessert,swisstopo,2011,6,Gebaeude,2015_Aufbau,,,,urnaesch_urnaesch_meierr,Urnäsch,hundwil,13966.481
{05ADD605-266C-4F2F-B4E4-68C79BF1A527},2014/05/26,2010/05/07,2009,6,2015,6,verbessert,swisstopo,2012,6,Gebaeude,2016_Aufbau,,,,plage-de-st-sulpice,Lac Léman,saint-sulpice,33692.049
{AE05F59A-20A2-401C-B2A6-13126BED2304},2018/03/20,2014/06/27,2013,6,2016,6,verbessert,swisstopo,2016,6,Gebaeude,1412_Aufbau,,,,zuerichsee_zurich_kullg,Zurichsee,zurich,59694.916
{D1140257-1170-42F6-8B96-C19A962A0E87},2018/01/17,2013/08/06,2010,6,2016,6,verbessert,swisstopo,2016,6,Gebaeude,1412_Aufbau,,,,zurichsee_wollishofen_langendorfm,Zurichsee,zurich,90068.380
{071794B6-71E4-4F67-BDFD-C608DA89D5C8},2013/08/07,2013/08/07,2010,7,2013,6,verbessert,swisstopo,2010,7,Sakrales Gebaeude,1412_Aufbau,,,,zurichsee_kusnachterhorn_thirkell-whitej,Zurichsee,kusnacht,61901.617
{948C5A44-527D-4D7C-AC0E-8C05612ED567},2013/10/09,2013/10/09,2013,6,2013,6,verbessert,swisstopo,2013,6,Treibhaus,2015_Aufbau,,,,vierwaldstattersee_weggis_schoberls_1,Quatre Cantons,weggis,7610.192
{8F89A180-0613-49B1-9320-6924B8121584},2013/11/08,2011/10/18,2011,3,2018,6,real,swisstopo,2011,6,Offenes Gebaeude,2018_Aufbau,,,,rhein-beach-tinguely,Rhein,basel,137219.454
