,code,rank,location,population,groupname,l_weight,type,pcs_m,n_times,quantity,% of total,n_weight
68,G1,90,bielersee_vinelz_fankhausers,867.0,food,0.088,l,0.0,3,0,0.0,0.024
69,G1,90,evole-plage,33489.0,food,0.088,l,0.0,1,0,0.0,0.008
70,G1,90,ligerz-strand,544.0,food,0.016,l,0.0,1,0,0.0,0.008
71,G1,90,luscherz-plage,560.0,food,0.032,l,0.0,1,0,0.0,0.008
72,G1,91,evole-plage,33489.0,food,0.088,l,0.0,2,0,0.0,0.016
73,G1,91,thun-strandbad,43734.0,food,0.016,l,0.0,1,0,0.0,0.008
74,G1,91,weissenau-neuhaus,5751.0,food,0.08,l,0.0,1,0,0.0,0.008
75,G1,92,la-petite-plage,30157.0,food,0.088,l,0.0,2,0,0.0,0.016
76,G1,93,evole-plage,33489.0,food,0.088,l,0.0,2,0,0.0,0.016
77,G1,93,la-petite-plage,30157.0,food,0.088,l,0.0,1,0,0.0,0.008
78,G1,94,evole-plage,33489.0,food,0.088,l,0.0,1,0,0.0,0.008
79,G1,95,evole-plage,33489.0,food,0.088,l,0.0,1,0,0.0,0.008
80,G1,95,mullermatte,55159.0,food,0.088,l,0.0,1,0,0.0,0.008
81,G1,95,pecos-plage,3357.0,food,0.008,l,0.0,1,0,0.0,0.008
82,G1,95,weissenau-neuhaus,5751.0,food,0.08,l,0.0,1,0,0.0,0.008
83,G1,95,wycheley,3092.0,food,0.016,l,0.0,1,0,0.0,0.008
84,G1,96,la-petite-plage,30157.0,food,0.088,l,0.0,1,0,0.0,0.008
85,G1,96,mullermatte,55159.0,food,0.088,l,0.0,2,0,0.0,0.016
86,G1,96,weissenau-neuhaus,5751.0,food,0.08,l,0.0,1,0,0.0,0.008
87,G1,97,la-petite-plage,30157.0,food,0.088,l,0.0,1,0,0.0,0.008
88,G1,97,mullermatte,55159.0,food,0.088,l,0.0,1,0,0.0,0.008
89,G1,97,strandboden-biel,55159.0,food,0.016,l,0.0,1,0,0.0,0.008
90,G1,97,weissenau-neuhaus,5751.0,food,0.08,l,0.0,2,0,0.0,0.016
91,G1,98,bielersee_vinelz_fankhausers,867.0,food,0.088,l,0.0,1,0,0.0,0.008
92,G1,98,evole-plage,33489.0,food,0.088,l,0.0,1,0,0.0,0.008
93,G1,98,signalpain,30157.0,food,0.008,l,0.0,1,0,0.0,0.008
94,G1,98,weissenau-neuhaus,5751.0,food,0.08,l,0.0,1,0,0.0,0.008
95,G1,99,mullermatte,55159.0,food,0.088,l,0.0,1,0,0.0,0.008
96,G1,101,mullermatte,55159.0,food,0.088,l,0.0,2,0,0.0,0.016
97,G1,102,evole-plage,33489.0,food,0.088,l,0.0,1,0,0.0,0.008
98,G1,102,mullermatte,55159.0,food,0.088,l,0.0,2,0,0.0,0.016
99,G1,102,weissenau-neuhaus,5751.0,food,0.08,l,0.0,1,0,0.0,0.008
100,G1,103,evole-plage,33489.0,food,0.088,l,0.0,1,0,0.0,0.008
101,G1,105,oben-am-see,3092.0,food,0.008,l,0.0,1,0,0.0,0.008
102,G1,106,mullermatte,55159.0,food,0.088,l,0.0,1,0,0.0,0.008
103,G1,108,mullermatte,55159.0,food,0.088,l,0.0,1,0,0.0,0.008
104,G10,3,beich,1043.0,food,0.008,r,0.0,1,0,0.0,0.008
105,G10,6,pecos-plage,3357.0,food,0.008,l,0.06,1,4,0.00032491267971732594,0.008
106,G10,6,plage-de-cheyres,2320.0,food,0.088,l,0.05,1,4,0.00032491267971732594,0.008
107,G10,7,luscherz-two,560.0,food,0.008,l,0.05,1,1,8.122816992933149e-05,0.008
108,G10,7,schusspark-strand,55159.0,food,0.016,r,0.02,1,1,8.122816992933149e-05,0.008
109,G10,8,gals-reserve,827.0,food,0.016,l,0.06,1,1,8.122816992933149e-05,0.008
110,G10,9,la-petite-plage,30157.0,food,0.088,l,0.03,1,3,0.00024368450978799449,0.008
111,G10,9,ligerz-strand,544.0,food,0.016,l,0.14,1,1,8.122816992933149e-05,0.008
112,G10,9,wycheley,3092.0,food,0.016,l,0.13,1,8,0.0006498253594346519,0.008
113,G10,10,bielersee_vinelz_fankhausers,867.0,food,0.088,l,0.03,1,1,8.122816992933149e-05,0.008
114,G10,11,bielersee_vinelz_fankhausers,867.0,food,0.088,l,0.06,1,1,8.122816992933149e-05,0.008
115,G10,11,nouvelle-plage,9716.0,food,0.008,l,0.02,1,1,8.122816992933149e-05,0.008
116,G10,12,bielersee_vinelz_fankhausers,867.0,food,0.088,l,0.17,1,2,0.00016245633985866297,0.008
117,G10,12,plage-de-cheyres,2320.0,food,0.088,l,0.0,1,0,0.0,0.008
118,G10,13,mullermatte,55159.0,food,0.088,l,0.12,1,5,0.0004061408496466575,0.008
119,G10,15,signalpain,30157.0,food,0.008,l,0.06,1,3,0.00024368450978799449,0.008
120,G10,15,thunersee_spiez_meierd_1,12812.0,food,0.088,l,0.0,1,0,0.0,0.008
121,G10,16,camping-gwatt-strand,43734.0,food,0.008,l,0.04,1,1,8.122816992933149e-05,0.008
122,G10,17,evole-plage,33489.0,food,0.088,l,0.03,1,2,0.00016245633985866297,0.008
123,G10,17,la-petite-plage,30157.0,food,0.088,l,0.02,1,2,0.00016245633985866297,0.008
