,code,material,description,source,source_two,source_three,parent_code,direct,single_use,micro,ospar_code
119,G29,plastique,"Peignes, brosses et lunettes de soleil",Utility items,Where does it come from,Direct,Parent code,True,False,False,18
120,G3,plastique,Sacs en plastique pour achats et pièces,Packaging,Food and drink,none,Parent code,True,True,False,2
121,G30,plastique,"Emballages de bonbons, de snacks",Packaging,Food and drink,none,Parent code,True,True,False,19
122,G31,plastique,Bâtonnets de sucette,Packaging,Food and drink,none,Parent code,True,True,False,19
123,G32,plastique,Jouets et faveurs de fête,Recreation,Where does it come from,none,Parent code,True,False,False,20
124,G33,plastique,"Gobelets, couvercles, mousse à usage unique et plastique dur",Packaging,Food and drink,Direct,Parent code,True,True,False,21
125,G34,plastique,"Couverts, assiettes et plateaux palstique",Food,Where does it come from,none,Parent code,True,True,False,22
126,G35,plastique,Pailles et agitateurs,Food,none,none,Parent code,True,True,False,22
127,G36,plastique,Sacs/sacs en plastique résistant pour 25 kg ou plus,Packaging,Where does it come from,Indirect,Parent code,True,True,False,23
128,G37,plastique,Sacs à mailles,Packaging,Where does it come from,,Parent code,True,False,False,
129,G38,plastique,Couvertures; emballages en plastique gros calibre,Packaging,Industrial,none,Parent code,False,True,False,40
130,G39,plastique,Gants,Clothing,Where does it come from,,Parent code,True,False,False,
131,G4,plastique,"Petits sacs en plastique ; congélateur, zip-lock",Packaging,Food and drink,Medical,Parent code,True,True,False,3
132,G40,plastique,Gants de ménage/jardinage,Clothing,Where does it come from,none,Parent code,True,False,False,25
133,G41,plastique,Gant industriel/professionnel,Clothing,Where does it come from,none,Parent code,True,False,False,113
134,G42,plastique,Pots à crabe et à homard,Fishing,Where does it come from,,Parent code,True,False,False,
135,G43,plastique,"Étiquettes de sécurité, sceaux",Utility items,Where does it come from,none,Parent code,False,False,False,114
136,G44,plastique,Pots à poulpe,Fishing,Where does it come from,,Parent code,True,False,False,
137,G45,plastique,Filets à moules,Aquaculture,Where does it come from,,Parent code,True,False,False,
138,G46,plastique,Plateaux à huîtres,Aquaculture,Where does it come from,,Parent code,True,False,False,
139,G47,plastique,Feuilles de la culture des moules,Aquaculture,Where does it come from,,Parent code,True,False,False,
140,G48,plastique,"Corde, synthétique",Utility items,Boating,Construction,Parent code,False,False,False,none
141,G49,plastique,Corde > 1cm,Utility items,Where does it come from,,Parent code,True,False,False,
142,G5,plastique,Sacs en plastique génériques,Packaging,Where does it come from,,Parent code,True,False,False,
143,G50,plastique,Cordon < 1cm,Utility items,Where does it come from,,Parent code,True,False,False,
144,G51,plastique,Filet de pêche,Fishing,Where does it come from,,Parent code,True,False,False,
145,G52,plastique,Filets et pièces,Fishing,Where does it come from,,Parent code,True,False,False,
146,G53,plastique,Filets et pièces < 50cm,Fishing,Where does it come from,,Parent code,True,False,False,
147,G54,plastique,Filets et pièces > 50cm,Fishing,Where does it come from,,Parent code,True,False,False,
148,G55,plastique,Ligne de pêche (enchevêtrée),Fishing,Where does it come from,,Parent code,True,False,False,
149,G56,plastique,Filets emmêlés,Fishing,Where does it come from,,Parent code,True,False,False,
150,G57,plastique,Caisses à poisson,Fishing,Where does it come from,,Parent code,True,False,False,
151,G58,plastique,Caisses à poisson en mousse,Fishing,Where does it come from,,Parent code,True,False,False,
152,G59,plastique,Ligne de pêche monofilament (pêche à la ligne),Fishing,Where does it come from,,Parent code,True,False,False,
153,G6,plastique,Récipients en plastique non alimentaires,Packaging,Where does it come from,Direct,Parent code,True,True,False,11
