# samples,# locations,# with GPI,median pcs/m,mean pcs/m,% of daily total,frequency
31,9,5,0.02,0.07161290322580646,0.01967197278649265,0.5806451612903226
4,2,2,0.035,0.465,0.09203979129825118,0.75
73,22,12,0.0,0.49821917808219185,0.038398033295863686,0.4794520547945205
12,8,2,0.0,0.007500000000000001,0.001026411964438454,0.16666666666666666
32,8,3,0.0,0.010937500000000001,0.012891329405314568,0.34375
25,7,2,0.0,0.0028000000000000004,0.0012885681894781998,0.12
25,8,2,0.0,0.012400000000000001,0.007408920681067905,0.24
44,9,6,0.0,0.0275,0.01111506265258336,0.22727272727272727
