loc_date,code,date,pcs_m,quantity,location,water_name,population,streets,buildings,rivs,wname_loc
"('plage-de-cheyres', '2020-10-17')",G112,2020-10-17,0.01,1,plage-de-cheyres,Neuenburgersee,2320,22960.451,28502.998,11,"('Neuenburgersee', 'plage-de-cheyres')"
"('plage-de-cheyres', '2020-11-16')",G112,2020-11-16,0.0,0,plage-de-cheyres,Neuenburgersee,2320,22960.451,28502.998,11,"('Neuenburgersee', 'plage-de-cheyres')"
"('plage-de-cheyres', '2020-12-14')",G112,2020-12-14,0.0,0,plage-de-cheyres,Neuenburgersee,2320,22960.451,28502.998,11,"('Neuenburgersee', 'plage-de-cheyres')"
"('plage-de-cheyres', '2021-01-16')",G112,2021-01-16,0.0,0,plage-de-cheyres,Neuenburgersee,2320,22960.451,28502.998,11,"('Neuenburgersee', 'plage-de-cheyres')"
"('plage-de-st-sulpice', '2020-10-01')",G112,2020-10-01,0.02,1,plage-de-st-sulpice,Lac Léman,4668,33992.542,33692.049,2,"('Lac Léman', 'plage-de-st-sulpice')"
"('pointe-dareuse', '2020-12-03')",G112,2020-12-03,0.0,0,pointe-dareuse,Neuenburgersee,6154,12831.053999999998,2977.322,14,"('Neuenburgersee', 'pointe-dareuse')"
"('preverenges', '2020-06-07')",G112,2020-06-07,3.9,156,preverenges,Lac Léman,5287,33713.885,44305.598,4,"('Lac Léman', 'preverenges')"
"('preverenges', '2020-07-09')",G112,2020-07-09,4.5,126,preverenges,Lac Léman,5287,33713.885,44305.598,4,"('Lac Léman', 'preverenges')"
"('preverenges', '2020-08-13')",G112,2020-08-13,0.6,36,preverenges,Lac Léman,5287,33713.885,44305.598,4,"('Lac Léman', 'preverenges')"
"('preverenges', '2020-09-08')",G112,2020-09-08,0.11,4,preverenges,Lac Léman,5287,33713.885,44305.598,4,"('Lac Léman', 'preverenges')"
"('preverenges', '2020-10-08')",G112,2020-10-08,2.53,109,preverenges,Lac Léman,5287,33713.885,44305.598,4,"('Lac Léman', 'preverenges')"
"('preverenges', '2020-11-12')",G112,2020-11-12,0.2,10,preverenges,Lac Léman,5287,33713.885,44305.598,4,"('Lac Léman', 'preverenges')"
"('preverenges', '2020-12-10')",G112,2020-12-10,0.56,28,preverenges,Lac Léman,5287,33713.885,44305.598,4,"('Lac Léman', 'preverenges')"
"('preverenges', '2021-01-07')",G112,2021-01-07,0.74,50,preverenges,Lac Léman,5287,33713.885,44305.598,4,"('Lac Léman', 'preverenges')"
"('quai-maria-belgia', '2020-04-28')",G112,2020-04-28,0.0,0,quai-maria-belgia,Lac Léman,19891,32082.693,89407.18800000001,8,"('Lac Léman', 'quai-maria-belgia')"
"('quai-maria-belgia', '2020-05-31')",G112,2020-05-31,0.0,0,quai-maria-belgia,Lac Léman,19891,32082.693,89407.18800000001,8,"('Lac Léman', 'quai-maria-belgia')"
"('quai-maria-belgia', '2020-06-28')",G112,2020-06-28,0.0,0,quai-maria-belgia,Lac Léman,19891,32082.693,89407.18800000001,8,"('Lac Léman', 'quai-maria-belgia')"
"('quai-maria-belgia', '2020-07-21')",G112,2020-07-21,0.03,1,quai-maria-belgia,Lac Léman,19891,32082.693,89407.18800000001,8,"('Lac Léman', 'quai-maria-belgia')"
"('quai-maria-belgia', '2020-08-30')",G112,2020-08-30,0.0,0,quai-maria-belgia,Lac Léman,19891,32082.693,89407.18800000001,8,"('Lac Léman', 'quai-maria-belgia')"
"('quai-maria-belgia', '2020-09-27')",G112,2020-09-27,0.0,0,quai-maria-belgia,Lac Léman,19891,32082.693,89407.18800000001,8,"('Lac Léman', 'quai-maria-belgia')"
"('quai-maria-belgia', '2020-10-25')",G112,2020-10-25,0.0,0,quai-maria-belgia,Lac Léman,19891,32082.693,89407.18800000001,8,"('Lac Léman', 'quai-maria-belgia')"
"('quai-maria-belgia', '2020-11-30')",G112,2020-11-30,0.0,0,quai-maria-belgia,Lac Léman,19891,32082.693,89407.18800000001,8,"('Lac Léman', 'quai-maria-belgia')"
"('quai-maria-belgia', '2020-12-23')",G112,2020-12-23,0.0,0,quai-maria-belgia,Lac Léman,19891,32082.693,89407.18800000001,8,"('Lac Léman', 'quai-maria-belgia')"
"('rastplatz-stampf', '2020-04-24')",G112,2020-04-24,0.0,0,rastplatz-stampf,Zurichsee,26999,17521.85,4381.695,10,"('Zurichsee', 'rastplatz-stampf')"
"('rastplatz-stampf', '2020-05-22')",G112,2020-05-22,0.0,0,rastplatz-stampf,Zurichsee,26999,17521.85,4381.695,10,"('Zurichsee', 'rastplatz-stampf')"
"('rastplatz-stampf', '2020-06-18')",G112,2020-06-18,0.08,2,rastplatz-stampf,Zurichsee,26999,17521.85,4381.695,10,"('Zurichsee', 'rastplatz-stampf')"
"('rastplatz-stampf', '2020-07-20')",G112,2020-07-20,0.0,0,rastplatz-stampf,Zurichsee,26999,17521.85,4381.695,10,"('Zurichsee', 'rastplatz-stampf')"
"('rastplatz-stampf', '2020-08-20')",G112,2020-08-20,0.0,0,rastplatz-stampf,Zurichsee,26999,17521.85,4381.695,10,"('Zurichsee', 'rastplatz-stampf')"
"('rastplatz-stampf', '2020-09-24')",G112,2020-09-24,0.05,1,rastplatz-stampf,Zurichsee,26999,17521.85,4381.695,10,"('Zurichsee', 'rastplatz-stampf')"
"('rastplatz-stampf', '2020-10-22')",G112,2020-10-22,0.0,0,rastplatz-stampf,Zurichsee,26999,17521.85,4381.695,10,"('Zurichsee', 'rastplatz-stampf')"
